variante;numero;libelle;type;sens_normal;parent_numero;niveau;imputable;marque;parametre_requis
commun;1;ACTIFS;actif;debit;;1;0;;
commun;2;PASSIFS;passif;credit;;1;0;;
commun;3;"PRODUITS D'EXPLOITATION DES VENTES DE BIENS ET DE PRESTATIONS DE SERVICES";produit;credit;;1;0;;
commun;4;"CHARGES DE MATÉRIEL, DE BIENS, DES PRESTATIONS DE SERVICES ET D'ÉNERGIE";charge;debit;;1;0;;
commun;5;"CHARGES DE PERSONNEL";charge;debit;;1;0;;
commun;6;"AUTRES CHARGES D'EXPLOITATION, AMORTISSEMENTS ET CORRECTIONS DE VALEUR ET RÉSULTATS FINANCIERS";charge;debit;;1;0;;
commun;7;"RÉSULTAT DES ACTIVITÉS ANNEXES D'EXPLOITATION";charge;debit;;1;0;;
commun;8;"CHARGES ET PRODUITS HORS EXPLOITATION, EXTRAORDINAIRES, UNIQUES OU HORS PÉRIODE";charge;debit;;1;0;;
commun;9;CLÔTURE;hors_bilan;debit;;1;0;;
commun;10;"Actifs circulants";actif;debit;1;2;0;;
commun;14;"Actifs immobilisés";actif;debit;1;2;0;;
commun;20;"Capitaux étrangers à court terme";passif;credit;2;2;0;;
commun;24;"Capitaux étrangers à long terme";passif;credit;2;2;0;;
personne_morale;28;"Capitaux propres";passif;credit;2;2;0;;
commun;30;"Produits bruts  d'exploitation";produit;credit;3;2;0;;
commun;38;"Ajustements sur les produits bruts d'exploitation";produit;credit;3;2;0;;
commun;39;"Variations des stocks";produit;credit;3;2;0;;
commun;40;"Coûts d'achat des produits vendus";charge;debit;4;2;0;;
commun;50;"Charges du personnel";charge;debit;5;2;0;;
commun;59;Commissions;charge;debit;5;2;0;;
commun;60;"Diverses charges d'exploitation";charge;debit;6;2;0;;
commun;68;Amortissements;charge;debit;6;2;0;;
commun;69;"Résultat financier";charge;debit;6;2;0;;
commun;70;"Résultat des activités annexes diverses";charge;debit;7;2;0;;
commun;75;"Résultat des immeubles d'exploitation";charge;debit;7;2;0;;
commun;80;"Résultat des activités hors exploitation diverses";charge;debit;8;2;0;;
commun;85;"Résultat des activités extraordinaires";charge;debit;8;2;0;;
commun;89;Impôts;charge;debit;8;2;0;;
commun;92;"Résultat de l'exercice";hors_bilan;debit;9;2;0;;
commun;100;Trésorerie;actif;debit;10;3;0;liquidite;
commun;106;"Avoirs cotés en bourse détenus à court terme";actif;debit;10;3;0;;
commun;110;"Créances résultant de la vente de biens et de prestations de services";actif;debit;10;3;0;client_collectif;
commun;114;"Autres créances à court terme";actif;debit;10;3;0;;
commun;120;"Stocks et prestations de services non facturées";actif;debit;10;3;0;;
commun;130;"Actifs de régularisation";actif;debit;10;3;0;;
commun;140;"Immobilisations financières";actif;debit;14;3;0;;
commun;148;Participations;actif;debit;14;3;0;;
commun;150;"Immobilisations corporelles meubles";actif;debit;14;3;0;;
commun;160;"Immobilisations corporelles";actif;debit;14;3;0;;
commun;170;"Immobilisations incorporelles";actif;debit;14;3;0;;
commun;180;"Capital social ou capital de la fondation non libéré";actif;debit;14;3;0;;
commun;200;"Dettes résultant de l'achat de biens et de prestations de services";passif;credit;20;3;0;fournisseur_collectif;
commun;210;"Dettes à court terme portant intérêt";passif;credit;20;3;0;;
commun;220;"Autres dettes à court terme";passif;credit;20;3;0;;
commun;230;"Passifs de régularisation et provisions à court terme";passif;credit;20;3;0;;
commun;240;"Dettes à long terme portant intérêt";passif;credit;24;3;0;;
commun;250;"Autres dettes à long terme";passif;credit;24;3;0;;
commun;260;"Provisions et postes analogues prévus par la loi";passif;credit;24;3;0;;
personne_morale;280;"Capital social ou capital de la fondation";passif;credit;28;3;0;;
personne_morale;290;"Réserves, propres parts du capital et bénéfice ou perte résultant du bilan";passif;credit;28;3;0;;
commun;1000;Caisse;actif;debit;100;4;1;liquidite;
commun;1010;Poste;actif;debit;100;4;1;;
commun;1020;"Banque (avoirs c/c)";actif;debit;100;4;1;liquidite;
commun;1045;"Cartes de crédit / Cartes de débit";actif;debit;100;4;1;liquidite;
commun;1060;"Actifs cotés en bourse (court terme)";actif;debit;106;4;1;;
commun;1069;"Corrections de valeur des actifs cotés en bourse";actif;credit;106;4;1;;
commun;1100;"Créances clients (débiteurs)";actif;debit;110;4;1;client_collectif;
commun;1109;"Corrections de valeur des créances clients";actif;credit;110;4;1;;
commun;1140;"Avances et prêts";actif;debit;114;4;1;;
commun;1149;"Corrections de valeur des avances et des prêts";actif;credit;114;4;1;;
commun;1170;"Impôt préalable s/matériel, marchandises, prestations et énergie";actif;debit;114;4;1;tva_prealable;
commun;1171;"Impôt préalable s/investissements et autres charges d’exploitation";actif;debit;114;4;1;tva_prealable;
commun;1176;"Créances envers l'impôt anticipé";actif;debit;114;4;1;;
commun;1179;"Créances envers l'impôt à la source";actif;debit;114;4;1;;
commun;1180;"Créances envers les assurances sociales et institutions de prévoyance";actif;debit;114;4;1;;
commun;1190;"Autres créances à court terme";actif;debit;114;4;1;;
commun;1199;"Corrections de valeur des autres créances à court terme";actif;credit;114;4;1;;
commun;1200;Stocks;actif;debit;120;4;1;;
commun;1250;"Marchandises en consignation";actif;debit;120;4;1;;
commun;1260;"Produits finis";actif;debit;120;4;1;;
commun;1270;"Produits en cours de fabrication";actif;debit;120;4;1;;
commun;1280;"Prestations de services non facturées";actif;debit;120;4;1;;
commun;1300;"Actifs de régularisation";actif;debit;130;4;1;;
commun;1400;"Titres immobilisés";actif;debit;140;4;1;;
commun;1409;"Corrections de valeur des titres immobilisés";actif;credit;140;4;1;;
commun;1440;"Prêts et créances à long terme";actif;debit;140;4;1;;
commun;1449;"Corrections de valeur des prêts et créances à long terme";actif;credit;140;4;1;;
commun;1480;Participations;actif;debit;148;4;1;;
commun;1489;"Corrections de valeur des participations";actif;credit;148;4;1;;
commun;1500;"Machines et appareils";actif;debit;150;4;1;;
commun;1509;"Fonds d'amortissements et corrections de valeur des machines et appareils";actif;credit;150;4;1;;
commun;1510;"Mobilier et installations";actif;debit;150;4;1;;
commun;1519;"Fonds d'amortissements et corrections de valeur du mobilier et des installations";actif;credit;150;4;1;;
commun;1520;"Machines de bureau, informatique, systèmes de communication";actif;debit;150;4;1;;
commun;1529;"Fonds d'amortissements et corrections de valeur des machines de bureau, informatique, systèmes de communication";actif;credit;150;4;1;;
commun;1530;Véhicules;actif;debit;150;4;1;;
commun;1539;"Fonds d'amortissements et corrections de valeur des véhicules";actif;credit;150;4;1;;
commun;1590;"Autres immobilisations corporelles";actif;debit;150;4;1;;
commun;1599;"Fonds d'amortissements et corrections de valeur des autres immobilisations corporelles";actif;credit;150;4;1;;
commun;1600;Immeubles;actif;debit;160;4;1;;
commun;1609;"Fonds d'amortissements et corrections de valeur des immeubles";actif;credit;160;4;1;;
commun;1700;"Brevets, licences et développements";actif;debit;170;4;1;;
commun;1709;"Fonds d'amortissements et corrections de valeurs des brevets, licences et développements";actif;credit;170;4;1;;
commun;1770;Goodwill;actif;debit;170;4;1;;
commun;1779;"Fonds d'amortissements et corrections de valeurs du goodwill";actif;credit;170;4;1;;
commun;1850;"Capital-actions et capital social non libéré";actif;debit;180;4;1;;
commun;2000;"Dettes résultant d'achat et prestations de services (créanciers)";passif;credit;200;4;1;fournisseur_collectif;
commun;2030;"Acomptes de tiers";passif;credit;200;4;1;;
commun;2100;"Dettes bancaires à court terme";passif;credit;210;4;1;;
commun;2120;"Leasing à court terme";passif;credit;210;4;1;;
commun;2140;"Autres dettes à court terme avec paiement d'intérêt";passif;credit;210;4;1;;
commun;2200;"TVA due";passif;credit;220;4;1;tva_due;
commun;2201;"Décompte TVA";passif;credit;220;4;1;tva_decompte;
commun;2206;"Impôt anticipé dû";passif;credit;220;4;1;;
commun;2208;"Impôts directs dû";passif;credit;220;4;1;;
commun;2209;"Impôts à la source dû";passif;credit;220;4;1;;
commun;2210;"Autres dettes à court terme (sans paiement d'intérêt)";passif;credit;220;4;1;;
commun;2270;Dividendes;passif;credit;220;4;1;;
commun;2280;"Dettes envers les assurances sociales et institutions de prévoyance";passif;credit;220;4;1;charge_sociale_a_payer;
commun;2300;"Passifs de régularisation";passif;credit;230;4;1;;
commun;2330;"Provisions à court terme";passif;credit;230;4;1;;
commun;2400;"Dettes bancaires à long terme";passif;credit;240;4;1;;
commun;2420;"Engagements de financement par leasing";passif;credit;240;4;1;;
commun;2430;"Emprunts obligataires";passif;credit;240;4;1;;
commun;2450;"Autres emprunts sur le long terme";passif;credit;240;4;1;;
commun;2451;Hypothèques;passif;credit;240;4;1;;
commun;2500;"Autres dettes à long terme (ne portant pas intérêt)";passif;credit;250;4;1;;
commun;2600;Provisions;passif;credit;260;4;1;;
personne_morale;2800;"Capital-actions et capital social";passif;credit;280;4;1;;
personne_morale;2810;"Fonds associatifs libres";passif;credit;28;4;1;fonds_libre;
personne_morale;2900;"Réserve légale issue du capital";passif;credit;290;4;1;;
personne_morale;2950;"Réserve légale issue du bénéfice";passif;credit;290;4;1;;
personne_morale;2955;"Réserves de réévaluation";passif;credit;290;4;1;;
personne_morale;2960;"Réserves facultatives issues du bénéfice";passif;credit;290;4;1;;
personne_morale;2965;"Parts propres au capital (passif négatif)";passif;debit;290;4;1;;
personne_morale;2970;"Bénéfice ou perte reportée";passif;credit;290;4;1;;
personne_morale;2979;"Bénéfice ou perte de l'exercice";passif;credit;290;4;1;resultat;
commun;3000;"Produits des ventes de biens fabriqués";produit;credit;30;4;1;;
commun;3001;Cotisations;produit;credit;30;4;1;cotisations;
commun;3002;"Dons reçus";produit;credit;30;4;1;dons;
commun;3003;"Subventions reçus";produit;credit;30;4;1;subventions;
